,bill_type bill_name bill_ID, missing_votes, Arlen Specter (PA), Barack H. Obama (IL), BarbaraA Mikulski(MD), BarbaraBoxer(CA), Bill Nelson(FL), BlancheL.Lincoln(AR), ByronL.Dorgan(ND), C.SaxbyChambliss(GA), CarlLevin(MI), CharlesE.'Chuck' Grassley(IA), CharlesE.'Chuck'Schumer(NY), CharlesT.'Chuck' Hagel(NE), ChristopherJ.Dodd(CT), ChristopherS.'Kit'Bond(MO), ConradR.Burns(MT), CraigThomas(WY), DanielK.Inouye(HI), DanielKahikinaAkaka(HI), DavidB.Vitter (LA), DebbieAnnStabenow(MI), DianneFeinstein(CA), E. Benjamin'Ben'Nelson(NE), EdwardM.'Ted'Kennedy(MA), ElizabethH.Dole(NC), EvanBayh(IN), FrankR.Lautenberg(NJ), GeorgeFelixAllen(VA), GeorgeV.Voinovich(OH), GordonHaroldSmith(OR), HarryM.Reid(NV), HerbertH.’Herb'Kohl(WI), HillaryRodhamClinton(NY), JamesM.'Jim'Inhofe(OK), JamesM.'Jim'Talent(MO), JamesMerrill'Jim'Jeffords(VT), JeffBingaman(NM), JeffersonB.'Jeff'SessionsIII(AL), JimBunning(KY), JimW.DeMint(SC), JohnCornyn(TX), JohnD.'Jay'RockefellerIV(WV), JohnE.Sununu(NH), JohnEricEnsign(NV), JohnF.'Jack'Reed(RI), JohnForbesKerry(MA), JohnH.'Johnny'Isakson(GA), JohnR.Thune(SD), JohnS.McCain(AZ), JohnW.Warner(VA), JonKyl(AZ), JosephI.Lieberman(CT), JosephR.BidenJr.(DE), JuddA.Gregg(NH), KayBaileyHutchison(TX), KenSalazar(CO), KentConrad(ND), LamarAlexander(TN), LarryE.Craig(ID), Lincoln D. Chafee(RI), LindseyO.Graham(SC), LisaA.Murkowski(AK), MariaCantwell(WA), MarkDayton(MN), MarkPryor(AR), MaryL.Landrieu(LA), MaxS.Baucus(MT), MelMartinez(FL), MichaelB.Enzi(WY), MichaelD.'Mike'Crapo(ID), Michael'Mike'DeWine(OH), MitchMcConnell(KY), NormColeman(MN), OlympiaJ.Snowe(ME), OrrinG.Hatch(UT), PatRoberts(KS), PatrickJ.Leahy(VT), PattyMurray(WA), PaulS.Sarbanes(MD), PeteV.Domenici(NM), RichardC.Shelby(AL), RichardG.Lugar(IN), RichardJ.'Dick'Durbin(IL), RichardJ.'Rick'Santorum(PA), RichardM.Burr(NC), RobertC.Byrd(WV), RobertF.Bennett(UT), RobertMenendez(NJ), RonWyden(OR), RussellD.Feingold (WI), SamuelD.'Sam'Brownback(KS), SusanM.Collins(ME), TedStevens(AK), ThadCochran(MS), ThomasAllen'Tom'Coburn(OK), ThomasRichardCarper(DE), Thomas'Tom'Harkin(IA), TimP.Johnson(SD), TrentLott(MS), WayneA.Allard(CO), WilliamH.'Bill'Frist(TN)
12,Gun Issues_Firearm Confiscation Prohibition Amendment_3872,0,1,1,-1,-1,1,1,1,1,-1,1,-1,1,-1,1,1,1,-1,-1,1,1,-1,1,-1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1
13,Immigration_Double-Layered Fencing Amendment_3888,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,1,-1,-1
14,Military Issues_Cluster Munitions Amendment_3897,0,-1,1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1
15,National Security Issues_Rail and Transit Security Amendment_3868,0,1,1,1,1,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,1,-1,1,1,1,-1,-1,1,1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1
16,Science and Medical Research_Stem Cell Research Bill_3874,0,1,1,1,1,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,1,-1,1,1,-1,-1,1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,1,1,-1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,-1,1
17,Abortion Issues_Unintended Pregnancy Amendment_3489,1,-1,1,1,1,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,-1,-1,1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,0,1,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1
18,"""Appropriations_Agriculture, Rural Development, FDA Appropriations Act_3675""",1,1,1,1,1,1,1,-1,1,1,-1,1,1,-1,1,-1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,1,1,1,1,-1,1,-1,-1,1,1,1
19,"""Appropriations_Agriculture, Rural Development, FDA Appropriations Act_3677""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
20,"""Appropriations_Commerce, Justice, Science, Appropriations Bill FY 2006_3711""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,-1,1,1,1,1,1,1
21,Appropriations_Defense Department FY2006 Appropriations bill_3790,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,1,1,1,1,1,-1,-1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,1,1,1,1,-1,1,1,-1,-1,1,1,1,1,1,-1,-1,1,1,-1,-1,1,1,-1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,1,1,-1,1,0,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,-1
22,"""Appropriations_Emergency Supplemental Appropriations Act, 2005_3515""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
23,"""Appropriations_Emergency Supplemental Appropriations Act, 2006_3845""",1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,Appropriations_Influenza Vaccine Injury Compensation Amendment_3818,1,1,1,1,1,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,1,-1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,-1,-1,-1,0,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,-1,-1,1,-1,-1,1,1,1,1,1,-1,-1,-1,1,-1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,1,1,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1
25,Appropriations_Interior Department FY 2006 Appropriations Bill_3595,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,-1,1,1,1,1,1,1
26,"""Appropriations_Legislative Branch Appropriations Act, 2006_3596""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,-1,1,1,1,1,1,1
27,Appropriations_Low-Income Home Energy Assistance Funding Amendment_3659,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,1,-1,-1,1,1,1,1,1,-1,-1,1,1,-1,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,-1,1,1,-1,1,0,-1,-1,1,-1,1,1,1,-1,-1,-1,-1,1,1
28,Appropriations_Low-Income Home Energy Assistance Program Amendment_3640,1,1,1,1,1,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,-1,-1,1,-1,-1,1,1,1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,-1,1,-1,0,1,1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1
29,Appropriations_Sugarcane Growers Funding Amendment_3819,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,1,0,1,1,-1,-1,1,1,1,-1,1,-1,-1,1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,1,1
30,"""Budget, Spending and Taxes_Budget FY2006 Appropriations Resolution_3488""",1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,1,-1,-1,1,1,1,1,-1,1,1,-1,-1,1,1,1,1,1,-1,-1,1,1,-1,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,1,1,-1,1,0,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,1
31,"""Budget, Spending and Taxes_Budget Reconciliation bill_3665""",1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,1,1,1,1,-1,1,1,-1,-1,1,1,1,1,1,-1,-1,1,1,-1,-1,1,1,-1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,1,1,1,-1,1,1,-1,1,0,-1,-1,1,-1,1,1,1,-1,-1,-1,1,1,1
32,"""Budget, Spending and Taxes_Budget Reconciliation bill_3789""",1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,1,1,-1,-1,1,1,1,1,-1,1,1,-1,-1,1,1,1,1,1,-1,-1,1,1,-1,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,1,1,-1,1,0,-1,-1,1,-1,1,1,1,-1,-1,-1,1,1,1
33,"""Budget, Spending and Taxes_Education Amendment_3490""",1,1,1,1,1,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,1,-1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,-1,-1,1,-1,-1,1,1,1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,0,1,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1
34,"""Budget, Spending and Taxes_Homeland Security Grant Program Amendment_3492""",1,1,1,1,1,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,-1,1,1,1,1,-1,1,-1,1,1,-1,1,1,1,-1,-1,1,-1,1,1,1,1,1,1,1,-1,-1,1,-1,1,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,-1,0,1,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1
35,"""Budget, Spending and Taxes_Hurricane Victims Tax Benefit Amendment_3706""",1,-1,1,1,1,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,1,-1,1,1,-1,1,-1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,0,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1
36,"""Budget, Spending and Taxes_Medicare Prescription Drug Amendment_3663""",1,1,1,1,1,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,1,-1,-1,1,1,-1,-1,1,1,-1,-1,1,1,-1,1,1,1,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,0,1,1,1,1,-1,-1,1,1,1,1,-1,-1,-1
37,"""Budget, Spending and Taxes_Native American Funding Amendment_3498""",1,-1,1,1,1,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,1,-1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,0,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1
38,"""Budget, Spending and Taxes_Pay As You Go Amendment_3670""",1,-1,1,1,1,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,1,-1,1,1,1,1,-1,1,1,-1,1,-1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,1,-1,-1,1,1,-1,-1,1,1,-1,-1,1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,0,1,1,-1,1,-1,-1,1,1,1,1,-1,-1,-1
39,"""Budget, Spending and Taxes_Perkins Vocational Education Program Amendment_3491""",1,-1,1,1,1,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,-1,-1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,0,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1
40,"""Budget, Spending and Taxes_Tax Rate Amendment_3715""",1,-1,1,1,1,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,0,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1
41,Business and Consumers_Price-Gouging During Emergencies Amendment_3704,1,1,1,1,1,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,1,-1,1,1,1,1,-1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,1,1,-1,1,-1,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,-1,1,1,1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,1,-1,0,1,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1
